city,date_time,temperature,humidity,wind_speed,weather_condition
Istanbul,2025-04-22 00:00:00:00,15.0,54.87,11.8,Bulutlu
Istanbul,2025-04-22 01:00:00:00,15.0,54.21,15.4,Bulutlu
Istanbul,2025-04-22 02:00:00:00,13.1,64.6,20.7,Bulutlu
Istanbul,2025-04-22 03:00:00:00,13.0,66.13,19.1,Bulutlu
Istanbul,2025-04-22 04:00:00:00,11.8,71.43,18.4,Bulutlu
Istanbul,2025-04-22 05:00:00:00,11.6,72.26,22.6,Parçalı Bulutlu
Istanbul,2025-04-22 06:00:00:00,10.8,76.32,16.4,Parçalı Bulutlu
Istanbul,2025-04-22 07:00:00:00,10.6,78.14,14.9,Parçalı Bulutlu
Istanbul,2025-04-22 08:00:00:00,11.6,77.37,24.7,Parçalı Bulutlu
Istanbul,2025-04-22 09:00:00:00,12.8,72.48,22.3,Parçalı Bulutlu
Istanbul,2025-04-22 10:00:00:00,15.8,60.4,17.3,Açık
Istanbul,2025-04-22 11:00:00:00,17.8,56.26,20.5,Açık
Istanbul,2025-04-22 12:00:00:00,19.6,50.19,20.0,Açık
Istanbul,2025-04-22 13:00:00:00,19.8,49.65,22.6,Parçalı Bulutlu
Istanbul,2025-04-22 14:00:00:00,19.8,49.65,25.1,Parçalı Bulutlu
Istanbul,2025-04-22 15:00:00:00,19.8,50.24,23.6,Parçalı Bulutlu
Istanbul,2025-04-22 16:00:00:00,20.0,49.7,26.2,Parçalı Bulutlu
Istanbul,2025-04-22 17:00:00:00,19.0,50.02,25.1,Açık
Istanbul,2025-04-22 18:00:00:00,17.8,53.2,26.9,Açık
Istanbul,2025-04-22 19:00:00:00,15.6,61.08,25.1,Açık
Istanbul,2025-04-22 20:00:00:00,12.8,72.48,29.2,Açık
Istanbul,2025-04-22 21:00:00:00,11.6,78.3,27.7,Açık
Istanbul,2025-04-22 22:00:00:00,10.8,82.7,27.2,Açık
Istanbul,2025-04-22 23:00:00:00,11.3,83.46,15.8,Açık
Istanbul,2025-04-23 00:00:00:00,10.8,86.28,15.8,Açık
Istanbul,2025-04-23 01:00:00:00,10.4,89.21,15.8,Parçalı Bulutlu
Istanbul,2025-04-23 02:00:00:00,10.1,91.63,17.3,Parçalı Bulutlu
Istanbul,2025-04-23 03:00:00:00,10.0,92.87,18.0,Parçalı Bulutlu
Istanbul,2025-04-23 04:00:00:00,10.1,92.25,18.4,Parçalı Bulutlu
Istanbul,2025-04-23 05:00:00:00,9.9,94.77,15.1,Bulutlu
Istanbul,2025-04-23 06:00:00:00,9.9,94.77,13.0,Bulutlu
Istanbul,2025-04-23 07:00:00:00,10.0,94.77,12.6,Bulutlu
Istanbul,2025-04-23 08:00:00:00,10.1,94.77,13.0,Bulutlu
Istanbul,2025-04-23 09:00:00:00,10.5,92.9,11.9,Bulutlu
Istanbul,2025-04-23 10:00:00:00,11.0,91.08,9.7,Bulutlu
Istanbul,2025-04-23 11:00:00:00,11.6,88.71,10.1,Bulutlu
Istanbul,2025-04-23 12:00:00:00,12.6,83.62,10.8,Parçalı Bulutlu
Istanbul,2025-04-23 13:00:00:00,12.9,83.09,15.1,Bulutlu
Istanbul,2025-04-23 14:00:00:00,13.4,79.89,17.3,Parçalı Bulutlu
Istanbul,2025-04-23 15:00:00:00,13.6,77.81,19.1,Parçalı Bulutlu
Istanbul,2025-04-23 16:00:00:00,13.7,75.25,19.1,Parçalı Bulutlu
Istanbul,2025-04-23 17:00:00:00,13.5,76.24,20.9,Parçalı Bulutlu
Istanbul,2025-04-23 18:00:00:00,13.3,75.19,20.9,Parçalı Bulutlu
Istanbul,2025-04-23 19:00:00:00,12.7,79.79,20.5,Parçalı Bulutlu
Istanbul,2025-04-23 20:00:00:00,12.2,80.8,19.1,Parçalı Bulutlu
Istanbul,2025-04-23 21:00:00:00,11.7,84.07,18.0,Açık
Istanbul,2025-04-23 22:00:00:00,11.3,85.75,19.8,Parçalı Bulutlu
Istanbul,2025-04-23 23:00:00:00,11.2,86.9,17.6,Parçalı Bulutlu
Istanbul,2025-04-24 00:00:00:00,11.1,86.89,16.9,Parçalı Bulutlu
Istanbul,2025-04-24 01:00:00:00,11.0,86.3,16.9,Parçalı Bulutlu
Istanbul,2025-04-24 02:00:00:00,11.0,86.3,16.9,Parçalı Bulutlu
Istanbul,2025-04-24 03:00:00:00,10.9,88.65,14.0,Bulutlu
Istanbul,2025-04-24 04:00:00:00,11.0,88.66,13.3,Bulutlu
Istanbul,2025-04-24 05:00:00:00,10.9,89.25,13.7,Bulutlu
Istanbul,2025-04-24 06:00:00:00,11.0,88.66,15.5,Parçalı Bulutlu
Istanbul,2025-04-24 07:00:00:00,11.0,89.86,12.6,Bulutlu
Istanbul,2025-04-24 08:00:00:00,11.2,89.27,13.7,Bulutlu
Istanbul,2025-04-24 09:00:00:00,11.8,86.96,14.8,Bulutlu
Istanbul,2025-04-24 10:00:00:00,12.8,80.34,19.1,Parçalı Bulutlu
Istanbul,2025-04-24 11:00:00:00,13.4,77.25,19.1,Bulutlu
Istanbul,2025-04-24 12:00:00:00,13.9,75.29,18.4,Bulutlu
Istanbul,2025-04-24 13:00:00:00,14.5,72.91,19.4,Parçalı Bulutlu
Istanbul,2025-04-24 14:00:00:00,14.9,72.49,19.4,Bulutlu
Istanbul,2025-04-24 15:00:00:00,14.7,74.42,19.4,Bulutlu
Istanbul,2025-04-24 16:00:00:00,14.8,73.94,19.1,Bulutlu
Istanbul,2025-04-24 17:00:00:00,14.8,73.45,18.4,Bulutlu
Istanbul,2025-04-24 18:00:00:00,14.4,75.88,17.3,Bulutlu
Istanbul,2025-04-24 19:00:00:00,13.9,78.37,14.0,Bulutlu
Istanbul,2025-04-24 20:00:00:00,13.3,80.95,9.0,Bulutlu
Istanbul,2025-04-24 21:00:00:00,12.8,84.2,4.3,Bulutlu
Istanbul,2025-04-24 22:00:00:00,12.4,87.02,5.0,Bulutlu
Istanbul,2025-04-24 23:00:00:00,12.1,88.75,3.6,Bulutlu
Istanbul,2025-04-25 00:00:00:00,11.8,90.52,3.2,Parçalı Bulutlu
Istanbul,2025-04-25 01:00:00:00,11.4,92.33,4.0,Parçalı Bulutlu
Istanbul,2025-04-25 02:00:00:00,11.2,93.56,2.9,Parçalı Bulutlu
Istanbul,2025-04-25 03:00:00:00,11.1,93.56,1.8,Parçalı Bulutlu
Istanbul,2025-04-25 04:00:00:00,11.3,91.71,0.7,Bulutlu
Istanbul,2025-04-25 05:00:00:00,11.7,89.91,2.5,Bulutlu
Istanbul,2025-04-25 06:00:00:00,11.8,90.52,3.2,Bulutlu
Istanbul,2025-04-25 07:00:00:00,11.9,89.93,2.2,Parçalı Bulutlu
Istanbul,2025-04-25 08:00:00:00,12.0,90.54,1.8,Parçalı Bulutlu
Istanbul,2025-04-25 09:00:00:00,12.1,92.37,2.9,Parçalı Bulutlu
Istanbul,2025-04-25 10:00:00:00,12.1,93.6,5.4,Açık
Istanbul,2025-04-25 11:00:00:00,12.2,92.99,7.2,Açık
Istanbul,2025-04-25 12:00:00:00,12.4,91.17,8.3,Parçalı Bulutlu
Istanbul,2025-04-25 13:00:00:00,12.5,89.97,7.9,Parçalı Bulutlu
Istanbul,2025-04-25 14:00:00:00,12.6,88.2,7.6,Parçalı Bulutlu
Istanbul,2025-04-25 15:00:00:00,12.4,88.78,7.6,Açık
Istanbul,2025-04-25 16:00:00:00,12.2,89.16,6.8,Açık
Istanbul,2025-04-25 17:00:00:00,12.1,89.55,6.1,Açık
Istanbul,2025-04-25 18:00:00:00,12.0,89.94,5.4,Parçalı Bulutlu
Istanbul,2025-04-25 19:00:00:00,12.3,87.4,4.1,Açık
Istanbul,2025-04-25 20:00:00:00,12.6,84.94,2.8,Açık
Istanbul,2025-04-25 21:00:00:00,13.0,82.55,1.4,Açık
